Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13.56]	 (rumeur de rue) 
[01:02:58.53]	  Il est primordial qu'à  l'issue de cette réunion,

[01:03:00.69]	  toutes les parties aient accepté le plan

[01:03:03.29]	  et le nouveau délai. - Impossible!

[01:03:05.49]	  Il faudra une semaine au moins

[01:03:07.79]	  pour avoir l'approbation de la Ligue musulmane.

[01:03:10.29]	  - Désolé, mais je ne peux pas attendre une semaine.

[01:03:12.59]	  Vous avez votre Pakistan,

[01:03:15.79]	  ce qui semblait inimaginable il y a encore quelque temps.

[01:03:17.19]	  Si je n'ai pas votre consentement,

[01:03:19.96]	  ce plan risque de s'effondrer.

[01:03:22.73]	  Et cette nation que vous créez à  partir de rien...

[01:03:23.73]	

[01:03:24.66]	 va disparaî tre.

[01:03:27.76]	

[01:03:29.26]	 - Oui, mais les frontiè res?

[01:03:29.96]	  

[01:03:32.69]	  Qui décidera?

[01:03:35.76]	  Et ouù  exactement se trouve ce Pakistan

[01:03:37.63]	  que nous allons approuver?

[01:03:40.29]	  - Le cabinet a décidé de nommer sir Cyril Radcliffe,

[01:03:41.93]	  un avocat, pour diriger la commission de bornage.

[01:03:44.36]	  Il sera assisté par des membres

[01:03:47.93]	    de la Ligue musulmane   et du Congrè s.

[01:03:50.06]	    Ce sera un processus   entiè rement impartial.

[01:03:51.36]	

[01:03:53.39]	  

[01:03:58.46]	 - Merci.

[01:04:02.46]	  On dit, n'est-ce pas, que le thé rafraî chit

[01:04:04.06]	  quand il fait trè s chaud?

[01:04:07.89]	  - Oh... Vous le voulez froid, monsieur?

[01:04:09.66]	  - Non, non. Merci beaucoup.

[01:04:11.36]	

[01:04:12.93]	  

[01:04:14.66]	 - Sir Cyril, bienvenue. - Votre excellence.

[01:04:18.76]	  - Ravi de vous revoir. Vous connaissez lord Ismay.

[01:04:21.89]	  - Bien sû r. Tout le monde connaî t Pug.

[01:04:24.29]	  - Vous arrivez pendant l'été le plus chaud depuis 75 ans.

[01:04:25.93]	  45 degrés à  l'ombre. - Ah, je m'adapterai.

[01:04:28.33]	  - CÇ a vous ennuie si... - Non.

[01:04:30.49]	  - Bien. Atlee vous a-t-il expliqué votre tâ che?

[01:04:31.86]	  - Oui. Vous voulez un tracé équitable

[01:04:34.66]	  divisant 90 millions de musulmans,

[01:04:37.56]	  de sikhs et d'hindous.

[01:04:40.49]	  - Exactement. Du thé avec du lait.

[01:04:41.86]	  - Et il vous faut ça pour le 15 aoû t.

[01:04:43.36]	  - Un jour plus tô t en réalité.

[01:04:46.16]	  J'ai accepté d'avancer la date à  minuit le 14 aoû t

[01:04:47.59]	  pour satisfaire les astrologues.

[01:04:50.46]	  - Mais ça nous laisse moins de cinq semaines.

[01:04:51.79]	  - Une petite équipe vous assistera.

[01:04:54.66]	  Ses membres représenteront toutes les parties concernées.

[01:04:56.39]	  - Nous vous fournirons des cartes précises bien sû r,

[01:04:59.23]	  des données démographiques et géographiques

[01:05:02.89]	  et toute autre information dont vous auriez besoin.

[01:05:04.23]	

[01:05:05.46]	 - Je dois me débrouiller pour tracer une ligne au cordeau

[01:05:07.56]	  

[01:05:09.43]	  en plein milieu des maisons, des riziè res,

[01:05:12.69]	  des champs de jute. - Je comprends trè s bien.

[01:05:15.09]	  C'est décourageant comme mission, certes.

[01:05:17.96]	  Et bien entendu, nous sommes conscients

[01:05:20.46]	  que quelques anomalies seront inévitables.

[01:05:23.43]	  - Radcliffe, à  quel point connaissez-vous

[01:05:26.53]	  le Bengale et le Pendjab?

[01:05:28.39]	  - Je croyais que Pug vous l'aurait dit, monsieur.

[01:05:29.99]	  Je n'étais jamais venu en Inde avant cette fois.

[01:05:31.39]	

[01:05:33.96]	  

[01:05:35.16]	 - Ce que je ne comprends pas, c'est cette date du 15 aoû t.

[01:05:38.99]	  C'est dans à  peine cinq semaines.

[01:05:41.43]	  - Pourquoi si vite, hein? - Exactement.

[01:05:43.36]	  - Ils devaient pas partir avant l'année prochaine.

[01:05:45.09]	  - Ils veulent pas qu'on les tienne responsables du carnage.

[01:05:46.86]	  - Mountbatten fait de son mieux pour éviter le carnage.

[01:05:49.16]	  C'est pour ça qu'il a avancé la date.

[01:05:51.69]	  - EÉ coutez-le parler, ce loyal serviteur.

[01:05:53.06]	

[01:05:54.03]	 - Ce qu'il nous faut, c'est des certitudes.

[01:05:55.93]	  

[01:05:57.93]	  Et lui a l'intention de nous en donner.

[01:06:01.03]	  - Jeet, c'est pas des intentions

[01:06:02.86]	  qu'il nous faut aujourd'hui. Agir!

[01:06:04.69]	  C'est ça qu'on lui demande.

[01:06:07.09]	  Les Britanniques quittent le navire comme des rats.

[01:06:08.46]	  - Il paraî t qu'à  Lahore,

[01:06:11.93]	  les caniveaux sont remplis de sang tellement y a de morts.

[01:06:13.26]	  Mê me des voisins s'entretuent,

[01:06:16.06]	  alors qu'on cohabitait tous depuis des siè cles.

[01:06:17.49]	  - L'armée est en train de déserter.

[01:06:18.96]	  Les soldats gardent leurs armes.

[01:06:20.79]	  Ils forment des milices sans pitié.

[01:06:22.03]	  - Jeet, écoute-moi, tout ça,

[01:06:23.96]	  c'est pour nous voler nos terres.

[01:06:25.26]	  Voilà  pourquoi ils font ça.

[01:06:27.39]	  - Comment il va stopper la violence, Mountbatten?

[01:06:29.03]	  -  AÀ  cause des nouvelles   frontiè res,

[01:06:31.03]	     d'importantes émeutes ont   éclaté dans les rues de Bombay

[01:06:32.56]	    pendant six jours violents,   de meurtres,

[01:06:34.79]	     de destructions,   d'incendies et de pillages.

[01:06:37.76]	     Le couvre-feu est l'une des mesures prises à  Delhi

[01:06:40.09]	     pour essayer d'en finir avec les luttes communautaires.

[01:06:42.89]	    D'un cô té, Delhi montre    ses rues désertes

[01:06:44.56]	  

[01:06:46.69]	    et ses portes fermées,    de l'autre, ses quartiers

[01:06:48.36]	    en proie aux émeutes    et aux pillages,

[01:06:50.56]	    ce qui ne manque pas   d'entraî ner

[01:06:52.39]	    des pertes humaines   et des dégâ ts considérables.

[01:06:52.93]	

[01:06:55.59]	  

[01:07:02.09]	 (cris)

[01:07:05.19]	

[01:07:07.19]	  

[01:07:12.33]	 - Papa! - Monsieur Noor!

[01:07:15.96]	  - Papa! - Monsieur Noor!

[01:07:18.19]	  Aalia, attends, attends. - Jeet, mon pè re!

[01:07:19.46]	  (en sourdine)

[01:07:22.49]	  - Qu'est-ce qui s'est passé?

[01:07:24.36]	  

[01:07:26.09]	  S'il vous plaî t, ouù  est mon pè re?

[01:07:28.23]	

[01:07:30.63]	 Vous ê tes des lâ ches!

[01:07:31.76]	  

[01:07:34.66]	  Vous me connaissez! Vous connaissez mon pè re!

[01:07:36.26]	  

[01:07:38.19]	  -  La violence ne sera pas   tolérée au palais du vice-roi.

[01:07:42.03]	  Les perturbateurs seront mis à  pied

[01:07:45.06]	  et envoyés en prison.

[01:07:47.33]	  Et leurs familles devront quitter les lieux.

[01:07:48.43]	  - Papa! Papa! - Aalia!

[01:07:51.26]	  -  Les mesures les plus sévè res   seront prises.

[01:07:53.36]	  Il n'y aura pas d'émeutes ici.

[01:07:55.89]	  - Plus que jamais, nous devons ê tre solidaires.

[01:07:58.43]	  Ce que nous traversons est le moment le plus important

[01:08:00.96]	

[01:08:02.26]	 de toute l'histoire de ce sous-continent.

[01:08:06.09]	  Nos enfants et nos petits-enfants

[01:08:08.06]	

[01:08:08.83]	 demanderont à  chacun d'entre nous

[01:08:12.89]	  comment nous avons servi. Nous devons ê tre sû rs

[01:08:15.03]	  de pouvoir répondre avec la plus grande fierté.

[01:08:18.23]	  - Dans une vingtaine de jours environ,

[01:08:21.76]	  l'Inde sera partagée en deux territoires.

[01:08:24.39]	  Le conseil de partition a décidé que les dettes

[01:08:26.89]	  et biens nationaux reviendront à  80% à  l'Inde

[01:08:29.86]	  et 20% au Pakistan.

[01:08:33.53]	  Nous utiliserons la mê me formule dans ce palais.

[01:08:35.36]	

[01:08:36.13]	 Pour finir...

[01:08:39.99]	  et je suis vraiment navré de le dire,

[01:08:41.66]	  chacun d'entre vous devra décider

[01:08:45.66]	  à  quel pays il fait allégeance, à  l'Inde...

[01:08:47.26]	  ou au Pakistan.

[01:08:50.63]	  (murmures)

[01:08:51.89]	  

[01:08:53.36]	

[01:08:55.36]	  

[01:09:02.36]	 - Suhara Kapur. L'Inde. - Au suivant.

[01:09:06.26]	  - Je choisis le Pakistan. - Au suivant.

[01:09:08.56]	

[01:09:11.13]	 - Sanjit Gupta.

[01:09:12.56]	  

[01:09:14.46]	  L'Inde.

[01:09:16.69]	  - Au suivant.

[01:09:18.09]	  Monsieur Ali.

[01:09:20.13]	  - Moi, je veux aller au Pakistan.

[01:09:21.66]	  - Je vous souhaite bonne chance.

[01:09:24.03]	  - Jeet, qu'est-ce qu'on va devenir tous les deux?

[01:09:24.63]	  

[01:09:25.36]	

[01:09:27.03]	 - Viens. - J'ai tellement peur.

[01:09:29.09]	  

[01:09:30.33]	  - Viens.

[01:09:33.53]	  - Cuillè res à  soupe, 15 caisses pour l'Inde,

[01:09:34.13]	  

[01:09:35.76]	  trois caisses pour le Pakistan.

[01:09:38.46]	  Petites cuillè res, 40 caisses pour l'Inde,

[01:09:39.86]	  10 caisses pour le Pakistan.

[01:09:42.29]	  Couteaux à  beurre, 20 caisses pour l'Inde,

[01:09:43.73]	  cinq caisses pour le Pakistan.

[01:09:46.06]	  Tuba, Inde.

[01:09:48.19]	  Cor d'harmonie, Pakistan.

[01:09:49.63]	

[01:09:51.63]	  

[01:09:53.63]	 - Trè s bien. Ouù  sont les derniers rapports?

[01:09:56.73]	

[01:09:58.46]	 - CÇ a, on le savait déjà .

[01:09:59.76]	  

[01:10:01.93]	  - Inde. Pakistan.

[01:10:02.59]	  

[01:10:04.13]	

[01:10:05.29]	 - L'Inde.

[01:10:07.56]	  

[01:10:08.73]	  - Au suivant.

[01:10:09.86]	

[01:10:10.79]	 - Le Pakistan.

[01:10:11.63]	  

[01:10:14.26]	  - Inde. Pakistan.

[01:10:15.63]	  

[01:10:16.36]	

[01:10:17.66]	 Inde. Pakistan.

[01:10:19.13]	  

[01:10:20.76]	

[01:10:22.96]	  

[01:10:30.26]	 (soupir)

[01:10:33.36]	

[01:10:34.46]	 - Je ne sais pas quoi faire.

[01:10:35.36]	  

[01:10:38.29]	  - Ton pè re est quelqu'un de bien.

[01:10:40.89]	

[01:10:41.83]	 Il comprendra. Aalia!

[01:10:45.66]	  Nous sommes faits l'un pour l'autre.

[01:10:48.76]	

[01:10:51.73]	 Prends ce kara.

[01:10:55.06]	  Il symbolise notre unité.

[01:10:55.63]	  

[01:10:56.76]	

[01:10:58.83]	 - J'ai peur.

[01:10:59.56]	  

[01:11:01.93]	

[01:11:04.63]	 - Les Hauts de Hurlevent revient au Pakistan.

[01:11:07.93]	  - Alors Jane Eyre reste ici.

[01:11:10.16]	  Et tous les romans de Jane Austen.

[01:11:11.46]	  - Inde. Et ça, Pakistan.

[01:11:13.86]	  - On peut pas diviser une encyclopédie.

[01:11:16.29]	  CÇ a serait un véritable crime. - Qu'est-ce que je fais alors?

[01:11:17.96]	  - 20% revient au Pakistan. - A à  E ou S à  Z?

[01:11:20.29]	  - Donne-moi A à  E. - Mais c'est absurde.

[01:11:24.46]	  -  Dans les régions ouù  les communautés sont mélangées,

[01:11:25.26]	  

[01:11:28.43]	    il est impossible de tracer   une frontiè re

[01:11:30.76]	    qui défavorisera à  coup sû r    soit les hindous,

[01:11:32.23]	    soit les musulmans.

[01:11:35.43]	  -  Des incendies se sont   déclarés à  plusieurs endroits

[01:11:37.23]	  tandis que les violents combats   entre musulmans et hindous

[01:11:38.16]	    se sont multipliés.

[01:11:41.23]	    On compte déjà  3 000 morts    et 8 000 blessés.

[01:11:42.43]	  - Trè s bien. Merci beaucoup.

[01:11:44.86]	  - Ouù  ça?

[01:11:45.76]	

[01:11:47.76]	  

[01:12:16.83]	 (soupir)

[01:12:19.93]	

[01:12:21.93]	  

[01:12:27.26]	 - Vous ê tes bien installé, monsieur Noor?

[01:12:30.56]	  - Aalia!

[01:12:33.56]	  - Je dois emmener mon pè re à  Lahore.

[01:12:34.03]	  

[01:12:36.93]	  Asif a gentiment proposé de nous emmener à  la gare.

[01:12:38.06]	  

[01:12:40.39]	  Mon pè re est ma plus grande responsabilité, Jeet.

[01:12:43.76]	  Je dois faire ce qu'il y a de mieux pour lui.

[01:12:46.03]	  - Fuir n'est pas ce qu'il y a de mieux pour ton pè re.

[01:12:48.69]	  - Ce que je veux, c'est qu'il reste en vie.

[01:12:50.76]	  Tout a changé maintenant.

[01:12:53.16]	  Nos voisins ne nous considè rent plus comme indiens,

[01:12:54.36]	  mais comme musulmans.

[01:12:58.06]	  - Aalia, tu es tout autant indienne que moi.

[01:12:59.26]	  L'Inde est ce que nous en faisons.

[01:13:02.16]	  - S'il te plaî t, c'est déjà  assez difficile.

[01:13:04.56]	  - Aalia, je t'en supplie, tu ne dois pas t'en aller.

[01:13:06.93]	  - Aalia, tu es prê te, ma chérie?

[01:13:10.73]	  - Une seconde, Ubba. - Qui est là ?

[01:13:12.29]	  - Jeet Kumar, monsieur. - Il faut y aller.

[01:13:13.63]	  Il n'y a pas une minute à  perdre.

[01:13:15.36]	  Le train part à  minuit.

[01:13:17.89]	  Je sais que tu as aidé Aalia et son pè re

[01:13:19.29]	  quand leur maison a été incendiée,

[01:13:21.59]	  et je te remercie pour tout ce que tu as fait.

[01:13:23.19]	  Ma mè re et mon frè re seront à  la gare de Lahore

[01:13:25.46]	  pour vous accueillir. Ma maison sera la tienne

[01:13:29.19]	  dè s que nous serons mariés. - Dis-lui, enfin!

[01:13:31.66]	  Dis-lui, Aalia! - Me dire quoi?

[01:13:33.76]	

[01:13:34.36]	 - Je suis conscient...

[01:13:36.36]	  

[01:13:38.16]	  que c'est trè s risqué de rester,

[01:13:40.96]	  mais tu es une femme courageuse.

[01:13:43.09]	  Et ton pè re--

[01:13:46.16]	  - Il faut que je l'emmè ne en lieu sû r.

[01:13:47.09]	

[01:13:48.16]	 Il faut que j'emmè ne mon pè re en lieu sû r.

[01:13:48.73]	  

[01:13:51.26]	

[01:13:54.56]	  

[01:13:56.46]	 Au revoir, Jeet.

[01:13:59.56]	

[01:14:00.89]	  

[01:14:02.26]	 - Nous devons y aller maintenant.

[01:14:05.56]	  - Kumar?

[01:14:07.36]	

[01:14:09.36]	  

[01:14:13.03]	 Je n'aurais jamais imaginé que mon pays puisse vivre ça.

[01:14:16.13]	

[01:14:17.46]	 C'est pour le bien de ma fille que je m'en vais.

[01:14:20.56]	

[01:14:22.59]	 Ton avenir est-il toujours sombre, mon ami?

[01:14:23.23]	  

[01:14:25.69]	

[01:14:26.83]	 As-tu enfin parlé à  cette jeune femme?

[01:14:29.93]	

[01:14:33.83]	 - Oui.

[01:14:34.36]	  

[01:14:37.39]	  Ce n'est pas possible.

[01:14:38.39]	  

[01:14:40.76]	  - Et pourquoi?

[01:14:42.99]	  - Parce qu'elle a décidé de partir...

[01:14:43.56]	  

[01:14:45.46]	  en train pour le Pakistan.

[01:14:47.76]	

[01:14:50.76]	  

[01:14:56.03]	 CÇ a a été un grand honneur de vous connaî tre.

[01:14:59.13]	

[01:15:02.36]	  

[01:15:16.13]	 - On doit y aller.

[01:15:19.23]	

[01:15:21.56]	  

[01:15:31.03]	 - On va ê tre en sécurité au Pakistan, papa.

[01:15:34.13]	

[01:15:37.56]	  

[01:15:45.03]	 (démarrage)

[01:15:48.13]	

[01:15:50.13]	  

[01:16:01.79]	 (brouhaha)

[01:16:04.89]	

[01:16:06.76]	 - Quelle fê te extraordinaire!

[01:16:06.89]	  

[01:16:10.89]	  - Monsieur Nehru, nous, les Américains, nous savons

[01:16:12.59]	  que vous ê tes un admirateur de l'Union soviétique.

[01:16:15.63]	  - J'admire également les EÉ tats-Unis, monsieur Grady.

[01:16:18.13]	  - Bien. Je suis ravi de l'entendre.

[01:16:20.36]	  Et je suis convaincu

[01:16:22.33]	  que les EÉ tats-Unis peuvent aider votre pays.

[01:16:23.73]	  - Si nous nous libérons d'un empire,

[01:16:26.09]	  ce n'est pas pour nous mettre sous la domination d'un autre.

[01:16:27.59]	  L'Inde doit voler de ses propres ailes.

[01:16:29.83]	  - Excusez-moi, monsieur.

[01:16:32.56]	  Sir Cyril Radcliffe souhaite s'entretenir avec vous.

[01:16:34.16]	  - Si vous le permettez, excellence, j'y vais.

[01:16:36.13]	

[01:16:41.03]	 - Je crois fermement qu'il nous faut plus de temps.

[01:16:43.99]	  - Asseyez-vous.

[01:16:47.13]	  - Pug, je ne sais pas si vous en avez conscience,

[01:16:48.76]	  mais la commission connaî t d'énormes difficultés

[01:16:52.63]	  à  accomplir sa mission. Et de plus,

[01:16:55.53]	  j'ai de grands doutes sur l'équité de la démarche.

[01:16:58.46]	  Je me demande si une autre instance

[01:17:00.79]	  ne devrait pas intervenir. - Et vous pensez à  laquelle?

[01:17:02.76]	  - Je me disais que l'ONU pourrait nous aider.

[01:17:05.46]	  - Et admettre que nous, les Britanniques,

[01:17:07.06]	  ne savons guè re gérer nos affaires seuls?

[01:17:08.99]	  - Sauf votre respect,

[01:17:12.13]	  c'est une bien trop grande responsabilité

[01:17:13.26]	  pour mon équipe et moi.

[01:17:14.93]	

[01:17:16.03]	 Je vais en dire deux mots à  Mountbatten.

[01:17:16.69]	  

[01:17:20.16]	  - Dickie doit ê tre absolument neutre, vous le savez.

[01:17:22.89]	  S'il prend partie pour une communauté,

[01:17:26.16]	  tout ça va exploser comme une bombe.

[01:17:28.73]	  Il faut que vous tranchiez dans le vif.

[01:17:30.63]	  - Justement, c'est une hache, Pug.

[01:17:33.26]	  Une hache couverte de sang qui brise la vie des gens.

[01:17:33.93]	

[01:17:37.13]	  

[01:17:40.26]	 - J'ai là  quelque chose qui pourrait vous ê tes utile.

[01:17:43.36]	

[01:17:47.36]	  

[01:17:53.66]	 C'est un document de politique générale rédigé par Churchill

[01:17:57.69]	  quand il était premier ministre il y a deux ans.

[01:18:01.59]	  Il s'était penché sur l'avenir de l'Inde.

[01:18:04.29]	

[01:18:06.03]	 Cela devrait vous faciliter la tâ che.

[01:18:06.76]	  

[01:18:09.13]	

[01:18:12.66]	 - Quelle est cette carte? - Elle a été dressée

[01:18:12.76]	  

[01:18:16.53]	  par le vice-roi Wavell l'an dernier.

[01:18:19.26]	  - Je ne comprends pas. Il y a déjà  une frontiè re là -dessus.

[01:18:20.86]	

[01:18:21.93]	 - On m'a dit de vous transmettre ces informations.

[01:18:25.79]	  - Qui vous l'a demandé? Mountbatten?

[01:18:29.09]	  - Non. Il ne sait rien à  ce sujet.

[01:18:32.06]	  Cela vient de beaucoup plus haut, monsieur Radcliffe.

[01:18:33.43]	

[01:18:34.46]	 On n'a pas battu les nazis et les Japs

[01:18:37.56]	

[01:18:38.46]	 pour refiler notre boutique aux Soviétiques.

[01:18:41.56]	

[01:18:45.43]	 Comme vous le voyez, il n'y a pas de ligne droite en Inde.

[01:18:48.13]	

[01:18:51.69]	 (conversations indistinctes)

[01:18:53.76]	  

[01:18:54.79]	

[01:18:56.79]	  

[01:18:59.03]	 - Mon Dieu!

[01:19:02.13]	

[01:19:03.93]	  

[01:19:06.03]	 - Ils sont des centaines à  arriver chaque jour.

[01:19:09.79]	  Il y en a des milliers en ville.

[01:19:12.93]	  Et ils racontent de ces choses.

[01:19:15.36]	  (langue étrangè re)

[01:19:17.76]	  CÇ a n'était pas prévu dans le plan, si?

[01:19:18.89]	

[01:19:22.13]	  

[01:19:44.03]	 - Duleep!

[01:19:47.66]	  Qu'est-ce qui s'est passé?

[01:19:49.89]	  - Jeet, nos familles sont venues?

[01:19:51.76]	  - Non.

[01:19:55.23]	  - Alors je suis arrivé trop tard.

[01:19:57.39]	  - Tout a été détruit. - Quoi?

[01:20:00.73]	  - Notre village, ils sont tous partis.

[01:20:02.56]	  Des hommes de la région sont arrivés

[01:20:04.76]	  et ils ont tout saccagé.

[01:20:07.79]	  Nos familles ont disparu.

[01:20:10.16]	  - Ma mè re?

[01:20:12.43]	  Mes soeurs? - Je...

[01:20:14.13]	  Je les ai pas retrouvées.

[01:20:16.06]	  Je prie le ciel qu'elles soient dans un camp de réfugiés.

[01:20:18.39]	  J'ai trouvé cette petite fille dans une grange abandonnée.

[01:20:21.59]	  Il n'y avait plus qu'elle dans le village.

[01:20:24.86]	  En revenant, j'ai vu plein de corps au bord de la route.

[01:20:28.56]	  Des femmes se sont jetées dans un puits

[01:20:31.73]	  pour ne pas ê tre violées.

[01:20:33.36]	

[01:20:34.69]	  

[01:20:39.83]	 (musique triste)

[01:20:42.93]	

[01:20:44.93]	  

[01:20:51.69]	 - Monsieur, la frontiè re est tracée.

[01:20:54.79]	

[01:20:55.83]	 - Nous ne dévoilerons cela à  personne

[01:20:57.76]	  

[01:20:59.69]	  avant les cérémonies d'indépendance.

[01:21:02.06]	  - Mais pourquoi enfin?

[01:21:04.56]	  J'ai subi une grande pression pour ê tre prê t à  temps.

[01:21:06.46]	  - Je préfè re qu'on les laisse célébrer l'indépendance.

[01:21:09.86]	  Ils découvriront la triste réalité aprè s la fê te.

[01:21:12.16]	  - Cela provoquera un carnage, monsieur.

[01:21:15.19]	  Quoi qu'il en soit! - Tous les dirigeants pensent

[01:21:18.43]	  que la partition enrayera la violence

[01:21:20.59]	  au lieu de l'aggraver.

[01:21:22.79]	  - Je ne tire aucune fierté de ce travail.

[01:21:24.16]	  - Désolé de vous l'entendre dire.

[01:21:27.69]	  - En toute conscience, je refuse de me faire payer.

[01:21:28.86]	

[01:21:32.86]	  

[01:21:33.83]	 Il me semble...

[01:21:37.73]	  que vous portez l'Inde dans votre coeur.

[01:21:38.93]	

[01:21:40.83]	 Je crois donc qu'il faut que vous sachiez...

[01:21:42.36]	  

[01:21:43.93]	

[01:21:47.76]	  

[01:22:13.96]	 (brouhaha)

[01:22:17.06]	

[01:22:19.06]	  

[01:22:27.86]	 - Ces trois caisses sont pleines.

[01:22:31.43]	  Vous pouvez les prendre.

[01:22:31.93]	

[01:22:32.83]	 Celles-ci aussi. Allez, dépê chez-vous.

[01:22:33.26]	  

[01:22:36.66]	  - Vous pensez qu'on en aura assez?

[01:22:40.36]	  - Il y a beaucoup trop de monde, votre excellence.

[01:22:42.69]	  Mê me en travaillant toute la nuit,

[01:22:46.06]	  je crains que ça ne suffise pas.

[01:22:48.39]	  - Je vais voir ce que je peux faire.

[01:22:50.36]	

[01:22:52.56]	  

[01:23:01.83]	 - Tu sais quel train a pris Aalia?

[01:23:05.36]	  - Le train de nuit.

[01:23:08.66]	  Le dernier.

[01:23:10.59]	

[01:23:12.59]	  

[01:23:16.29]	 - Ils disent qu'il n'y a aucun survivant.

[01:23:19.39]	

[01:23:21.13]	  

[01:23:23.83]	 (sanglots)

[01:23:26.93]	

[01:23:28.69]	  

[01:23:53.86]	 - Dickie, les réfugiés-- - Pas maintenant!

[01:23:56.96]	

[01:24:00.56]	  

[01:24:02.03]	 Laissez-nous!

[01:24:05.13]	

[01:24:06.76]	  

[01:24:08.46]	 Voilà  pourquoi Jinnah était si ferme!

[01:24:12.36]	  On lui avait déjà  promis son Pakistan!

[01:24:14.96]	  Comment se fait-il que personne ne m'en ait parlé?

[01:24:17.89]	  - CÇ a vous aurait empê ché de faire votre travail.

[01:24:19.36]	  - Mon travail?

[01:24:22.39]	  Trompez des gens que je suis au contraire supposé respecter?

[01:24:23.66]	  - Vous n'avez trompé personne.

[01:24:26.53]	  Vous avez été tout à  fait honnê te

[01:24:27.86]	  et eux vous ont fait confiance.

[01:24:29.83]	  Comme nous l'espérions. - Oui! Pour que je les pousse

[01:24:32.36]	  à  approuver ce qui avait été décidé.

[01:24:35.23]	  - L'essentiel est de protéger les intérê ts de la couronne.

[01:24:35.96]	

[01:24:36.59]	 Churchill, lui, le voit.

[01:24:40.23]	  - Il voit quoi, Churchill?

[01:24:41.76]	  - Notre avenir.

[01:24:43.19]	  Regardez la carte.

[01:24:45.39]	  Regardez ouù  se concentrera le pouvoir.

[01:24:46.59]	  Le golfe, le pétrole.

[01:24:49.99]	  Nous devons assurer notre accè s vers cette richesse,

[01:24:52.29]	  vers ces énormes réserves.

[01:24:55.89]	  Et barrer l'entrée aux autres.

[01:24:58.13]	  Et notre sécurité sera assurée grâ ce au Pakistan.

[01:25:00.03]	

[01:25:01.59]	 - Vous avez divisé l'Inde pour du pétrole.

[01:25:04.69]	

[01:25:05.93]	 - Pour notre sécurité.

[01:25:09.59]	  Il y a un empire soviétique.

[01:25:12.96]	  Staline a absolument besoin

[01:25:16.13]	  d'un port libre de glace à  l'est.

[01:25:18.53]	  Il avait des vues sur Karachi.

[01:25:20.03]	

[01:25:20.76]	 Il peut faire une croix dessus.

[01:25:24.73]	  - Le Pakistan sera plus facile à  influencer

[01:25:26.93]	  qu'une Inde indisciplinée aux penchants socialistes.

[01:25:29.03]	  C'est ce que vous imaginez?

[01:25:31.56]	  - Un chef d'EÉ tat-major n'a pas à  imaginer.

[01:25:33.23]	  - Vous avez abusé de moi et de ma famille.

[01:25:36.43]	  - Vous ê tes venu pour servir votre roi et votre pays.

[01:25:39.33]	  Et vous avez été admirable.

[01:25:42.73]	  Il paraî t qu'ils vont vous promouvoir,

[01:25:44.23]	  de vicomte à  comte.

[01:25:46.93]	  - Que faites-vous de tous ces pauvres gens

[01:25:47.79]	  

[01:25:49.93]	  dont la vie est brisée à  cause de ces manigances?

[01:25:51.89]	  - Ils ont joué de malchance. On ne l'avait pas prévu.

[01:25:54.13]	  - Vous avez tous du sang sur les mains.

[01:25:57.19]	  - Mais, Dickie... votre nom est indissociable du plan.

[01:25:58.29]	

[01:26:00.46]	 Il sera toujours connu comme le plan Mountbatten.

[01:26:02.26]	  

[01:26:03.56]	

[01:26:06.96]	  

[01:26:07.66]	 Bonsoir, votre excellence.

[01:26:10.76]	

[01:26:12.86]	  

[01:26:47.59]	 - Mais enfin, qu'est-ce que ça veut dire?

[01:26:51.43]	  - Vous étiez supposé nous protéger.

[01:26:53.13]	

[01:26:54.76]	 Vous avez mis l'Inde en piè ces.

[01:26:56.03]	  

[01:26:57.86]	

[01:26:59.79]	  

[01:27:05.09]	 Tous ceux que j'aimais sont morts.

[01:27:08.39]	  - Kumar.

[01:27:10.93]	  - C'est ça le prix que nous devons payer pour ê tre libres?

[01:27:12.56]	  - J'ai connu nombre de jeunes pendant la guerre

[01:27:14.63]	  qui ont perdu des proches. Et avec le temps qui passe--

[01:27:17.13]	  - Vous, vous n'avez perdu personne! Personne!

[01:27:20.99]	  Bientô t, vous allez repartir sans une égratignure.

[01:27:21.73]	  

