Transcripts of 000031_FR_full_caption_fr-FR.scc

[00:01:13:03]	 (rumeur de rue) 
[01:02:57:14]	  Il est primordial qu'à  l'issue de cette réunion,

[01:02:59:24]	  toutes les parties aient accepté le plan

[01:03:02:14]	  et le nouveau délai. - Impossible!

[01:03:04:24]	  Il faudra une semaine au moins

[01:03:06:24]	  pour avoir l'approbation de la Ligue musulmane.

[01:03:09:05]	  - Désolé, mais je ne peux pas attendre une semaine.

[01:03:12:00]	  Vous avez votre Pakistan,

[01:03:14:18]	  ce qui semblait inimaginable il y a encore quelque temps.

[01:03:16:11]	  Si je n'ai pas votre consentement,

[01:03:19:08]	  ce plan risque de s'effondrer.

[01:03:21:19]	  Et cette nation que vous créez à  partir de rien...

[01:03:23:19]	

[01:03:24:09]	 va disparaî tre.

[01:03:27:20]	

[01:03:28:21]	 - Oui, mais les frontiè res?

[01:03:29:28]	  

[01:03:32:08]	  Qui décidera?

[01:03:34:25]	  Et ouù  exactement se trouve ce Pakistan

[01:03:37:00]	  que nous allons approuver?

[01:03:39:05]	  - Le cabinet a décidé de nommer sir Cyril Radcliffe,

[01:03:40:26]	  un avocat, pour diriger la commission de bornage.

[01:03:43:20]	  Il sera assisté par des membres

[01:03:46:25]	    de la Ligue musulmane   et du Congrè s.

[01:03:48:26]	    Ce sera un processus   entiè rement impartial.

[01:03:51:08]	

[01:03:53:11]	  

[01:03:58:08]	 - Merci.

[01:04:01:14]	  On dit, n'est-ce pas, que le thé rafraî chit

[01:04:03:14]	  quand il fait trè s chaud?

[01:04:06:29]	  - Oh... Vous le voulez froid, monsieur?

[01:04:08:28]	  - Non, non. Merci beaucoup.

[01:04:11:08]	

[01:04:12:27]	  

[01:04:13:23]	 - Sir Cyril, bienvenue. - Votre excellence.

[01:04:17:20]	  - Ravi de vous revoir. Vous connaissez lord Ismay.

[01:04:20:29]	  - Bien sû r. Tout le monde connaî t Pug.

[01:04:23:03]	  - Vous arrivez pendant l'été le plus chaud depuis 75 ans.

[01:04:24:28]	  45 degrés à  l'ombre. - Ah, je m'adapterai.

[01:04:27:16]	  - CÇ a vous ennuie si... - Non.

[01:04:29:14]	  - Bien. Atlee vous a-t-il expliqué votre tâ che?

[01:04:31:00]	  - Oui. Vous voulez un tracé équitable

[01:04:33:25]	  divisant 90 millions de musulmans,

[01:04:37:00]	  de sikhs et d'hindous.

[01:04:39:20]	  - Exactement. Du thé avec du lait.

[01:04:41:00]	  - Et il vous faut ça pour le 15 aoû t.

[01:04:42:19]	  - Un jour plus tô t en réalité.

[01:04:45:01]	  J'ai accepté d'avancer la date à  minuit le 14 aoû t

[01:04:46:25]	  pour satisfaire les astrologues.

[01:04:49:14]	  - Mais ça nous laisse moins de cinq semaines.

[01:04:50:28]	  - Une petite équipe vous assistera.

[01:04:53:14]	  Ses membres représenteront toutes les parties concernées.

[01:04:55:08]	  - Nous vous fournirons des cartes précises bien sû r,

[01:04:58:09]	  des données démographiques et géographiques

[01:05:01:25]	  et toute autre information dont vous auriez besoin.

[01:05:04:04]	

[01:05:04:10]	 - Je dois me débrouiller pour tracer une ligne au cordeau

[01:05:07:16]	  

[01:05:08:14]	  en plein milieu des maisons, des riziè res,

[01:05:11:20]	  des champs de jute. - Je comprends trè s bien.

[01:05:14:05]	  C'est décourageant comme mission, certes.

[01:05:17:03]	  Et bien entendu, nous sommes conscients

[01:05:19:15]	  que quelques anomalies seront inévitables.

[01:05:22:14]	  - Radcliffe, à  quel point connaissez-vous

[01:05:25:28]	  le Bengale et le Pendjab?

[01:05:27:10]	  - Je croyais que Pug vous l'aurait dit, monsieur.

[01:05:28:29]	  Je n'étais jamais venu en Inde avant cette fois.

[01:05:31:09]	

[01:05:33:28]	  

[01:05:34:00]	 - Ce que je ne comprends pas, c'est cette date du 15 aoû t.

[01:05:38:05]	  C'est dans à  peine cinq semaines.

[01:05:40:16]	  - Pourquoi si vite, hein? - Exactement.

[01:05:42:10]	  - Ils devaient pas partir avant l'année prochaine.

[01:05:43:25]	  - Ils veulent pas qu'on les tienne responsables du carnage.

[01:05:45:20]	  - Mountbatten fait de son mieux pour éviter le carnage.

[01:05:48:08]	  C'est pour ça qu'il a avancé la date.

[01:05:50:21]	  - EÉ coutez-le parler, ce loyal serviteur.

[01:05:52:29]	

[01:05:53:04]	 - Ce qu'il nous faut, c'est des certitudes.

[01:05:55:27]	  

[01:05:57:01]	  Et lui a l'intention de nous en donner.

[01:06:00:08]	  - Jeet, c'est pas des intentions

[01:06:02:01]	  qu'il nous faut aujourd'hui. Agir!

[01:06:04:01]	  C'est ça qu'on lui demande.

[01:06:06:01]	  Les Britanniques quittent le navire comme des rats.

[01:06:07:25]	  - Il paraî t qu'à  Lahore,

[01:06:10:21]	  les caniveaux sont remplis de sang tellement y a de morts.

[01:06:12:16]	  Mê me des voisins s'entretuent,

[01:06:14:29]	  alors qu'on cohabitait tous depuis des siè cles.

[01:06:16:20]	  - L'armée est en train de déserter.

[01:06:18:05]	  Les soldats gardent leurs armes.

[01:06:19:28]	  Ils forment des milices sans pitié.

[01:06:21:11]	  - Jeet, écoute-moi, tout ça,

[01:06:23:04]	  c'est pour nous voler nos terres.

[01:06:24:18]	  Voilà  pourquoi ils font ça.

[01:06:26:10]	  - Comment il va stopper la violence, Mountbatten?

[01:06:27:28]	  -  AÀ  cause des nouvelles   frontiè res,

[01:06:29:20]	     d'importantes émeutes ont   éclaté dans les rues de Bombay

[01:06:31:13]	    pendant six jours violents,   de meurtres,

[01:06:33:19]	     de destructions,   d'incendies et de pillages.

[01:06:36:18]	     Le couvre-feu est l'une des mesures prises à  Delhi

[01:06:38:26]	     pour essayer d'en finir avec les luttes communautaires.

[01:06:41:23]	    D'un cô té, Delhi montre    ses rues désertes

[01:06:44:16]	  

[01:06:45:14]	    et ses portes fermées,    de l'autre, ses quartiers

[01:06:47:10]	    en proie aux émeutes    et aux pillages,

[01:06:49:16]	    ce qui ne manque pas   d'entraî ner

[01:06:51:03]	    des pertes humaines   et des dégâ ts considérables.

[01:06:52:25]	

[01:06:55:17]	  

[01:07:01:27]	 (cris)

[01:07:05:03]	

[01:07:07:05]	  

[01:07:11:24]	 - Papa! - Monsieur Noor!

[01:07:15:10]	  - Papa! - Monsieur Noor!

[01:07:17:08]	  Aalia, attends, attends. - Jeet, mon pè re!

[01:07:19:01]	  (en sourdine)

[01:07:21:25]	  - Qu'est-ce qui s'est passé?

[01:07:24:10]	  

[01:07:25:08]	  S'il vous plaî t, ouù  est mon pè re?

[01:07:28:04]	

[01:07:30:03]	 Vous ê tes des lâ ches!

[01:07:31:22]	  

[01:07:33:19]	  Vous me connaissez! Vous connaissez mon pè re!

[01:07:36:07]	  

[01:07:36:25]	  -  La violence ne sera pas   tolérée au palais du vice-roi.

[01:07:41:06]	  Les perturbateurs seront mis à  pied

[01:07:44:15]	  et envoyés en prison.

[01:07:46:11]	  Et leurs familles devront quitter les lieux.

[01:07:47:25]	  - Papa! Papa! - Aalia!

[01:07:50:01]	  -  Les mesures les plus sévè res   seront prises.

[01:07:52:20]	  Il n'y aura pas d'émeutes ici.

[01:07:54:25]	  - Plus que jamais, nous devons ê tre solidaires.

[01:07:57:08]	  Ce que nous traversons est le moment le plus important

[01:08:00:26]	

[01:08:01:12]	 de toute l'histoire de ce sous-continent.

[01:08:05:08]	  Nos enfants et nos petits-enfants

[01:08:07:29]	

[01:08:08:03]	 demanderont à  chacun d'entre nous

[01:08:11:25]	  comment nous avons servi. Nous devons ê tre sû rs

[01:08:13:29]	  de pouvoir répondre avec la plus grande fierté.

[01:08:17:11]	  - Dans une vingtaine de jours environ,

[01:08:20:25]	  l'Inde sera partagée en deux territoires.

[01:08:23:10]	  Le conseil de partition a décidé que les dettes

[01:08:25:25]	  et biens nationaux reviendront à  80% à  l'Inde

[01:08:29:10]	  et 20% au Pakistan.

[01:08:32:14]	  Nous utiliserons la mê me formule dans ce palais.

[01:08:35:08]	

[01:08:35:24]	 Pour finir...

[01:08:39:04]	  et je suis vraiment navré de le dire,

[01:08:40:25]	  chacun d'entre vous devra décider

[01:08:44:20]	  à  quel pays il fait allégeance, à  l'Inde...

[01:08:46:24]	  ou au Pakistan.

[01:08:50:08]	  (murmures)

[01:08:51:26]	  

[01:08:53:08]	

[01:08:55:10]	  

[01:09:01:17]	 - Suhara Kapur. L'Inde. - Au suivant.

[01:09:05:11]	  - Je choisis le Pakistan. - Au suivant.

[01:09:08:14]	

[01:09:10:23]	 - Sanjit Gupta.

[01:09:12:16]	  

[01:09:14:04]	  L'Inde.

[01:09:16:08]	  - Au suivant.

[01:09:17:20]	  Monsieur Ali.

[01:09:19:10]	  - Moi, je veux aller au Pakistan.

[01:09:20:26]	  - Je vous souhaite bonne chance.

[01:09:23:00]	  - Jeet, qu'est-ce qu'on va devenir tous les deux?

[01:09:24:18]	  

[01:09:25:08]	

[01:09:26:12]	 - Viens. - J'ai tellement peur.

[01:09:29:02]	  

[01:09:30:01]	  - Viens.

[01:09:32:14]	  - Cuillè res à  soupe, 15 caisses pour l'Inde,

[01:09:34:03]	  

[01:09:35:01]	  trois caisses pour le Pakistan.

[01:09:37:14]	  Petites cuillè res, 40 caisses pour l'Inde,

[01:09:39:06]	  10 caisses pour le Pakistan.

[01:09:41:09]	  Couteaux à  beurre, 20 caisses pour l'Inde,

[01:09:43:01]	  cinq caisses pour le Pakistan.

[01:09:45:20]	  Tuba, Inde.

[01:09:47:18]	  Cor d'harmonie, Pakistan.

[01:09:49:16]	

[01:09:51:18]	  

[01:09:52:21]	 - Trè s bien. Ouù  sont les derniers rapports?

[01:09:56:19]	

[01:09:57:27]	 - CÇ a, on le savait déjà .

[01:09:59:22]	  

[01:10:01:14]	  - Inde. Pakistan.

[01:10:02:17]	  

[01:10:04:01]	

[01:10:05:02]	 - L'Inde.

[01:10:07:16]	  

[01:10:08:09]	  - Au suivant.

[01:10:09:23]	

[01:10:10:14]	 - Le Pakistan.

[01:10:11:18]	  

[01:10:13:24]	  - Inde. Pakistan.

[01:10:15:18]	  

[01:10:16:08]	

[01:10:17:09]	 Inde. Pakistan.

[01:10:19:03]	  

[01:10:20:20]	

[01:10:22:28]	  

[01:10:30:02]	 (soupir)

[01:10:33:08]	

[01:10:33:27]	 - Je ne sais pas quoi faire.

[01:10:35:10]	  

[01:10:37:14]	  - Ton pè re est quelqu'un de bien.

[01:10:40:24]	

[01:10:41:10]	 Il comprendra. Aalia!

[01:10:44:25]	  Nous sommes faits l'un pour l'autre.

[01:10:48:20]	

[01:10:51:10]	 Prends ce kara.

[01:10:54:14]	  Il symbolise notre unité.

[01:10:55:18]	  

[01:10:56:20]	

[01:10:58:16]	 - J'ai peur.

[01:10:59:16]	  

[01:11:01:25]	

[01:11:03:22]	 - Les Hauts de Hurlevent revient au Pakistan.

[01:11:07:08]	  - Alors Jane Eyre reste ici.

[01:11:09:10]	  Et tous les romans de Jane Austen.

[01:11:10:25]	  - Inde. Et ça, Pakistan.

[01:11:12:29]	  - On peut pas diviser une encyclopédie.

[01:11:15:00]	  CÇ a serait un véritable crime. - Qu'est-ce que je fais alors?

[01:11:16:29]	  - 20% revient au Pakistan. - A à  E ou S à  Z?

[01:11:19:10]	  - Donne-moi A à  E. - Mais c'est absurde.

[01:11:23:06]	  -  Dans les régions ouù  les communautés sont mélangées,

[01:11:25:07]	  

[01:11:27:08]	    il est impossible de tracer   une frontiè re

[01:11:29:15]	    qui défavorisera à  coup sû r    soit les hindous,

[01:11:31:18]	    soit les musulmans.

[01:11:34:01]	  -  Des incendies se sont   déclarés à  plusieurs endroits

[01:11:35:28]	  tandis que les violents combats   entre musulmans et hindous

[01:11:37:16]	    se sont multipliés.

[01:11:40:01]	    On compte déjà  3 000 morts    et 8 000 blessés.

[01:11:41:20]	  - Trè s bien. Merci beaucoup.

[01:11:44:16]	  - Ouù  ça?

[01:11:45:20]	

[01:11:47:22]	  

[01:12:16:19]	 (soupir)

[01:12:19:25]	

[01:12:21:27]	  

[01:12:26:12]	 - Vous ê tes bien installé, monsieur Noor?

[01:12:30:08]	  - Aalia!

[01:12:32:21]	  - Je dois emmener mon pè re à  Lahore.

[01:12:34:00]	  

[01:12:35:25]	  Asif a gentiment proposé de nous emmener à  la gare.

[01:12:38:01]	  

[01:12:39:08]	  Mon pè re est ma plus grande responsabilité, Jeet.

[01:12:42:23]	  Je dois faire ce qu'il y a de mieux pour lui.

[01:12:44:25]	  - Fuir n'est pas ce qu'il y a de mieux pour ton pè re.

[01:12:47:23]	  - Ce que je veux, c'est qu'il reste en vie.

[01:12:50:05]	  Tout a changé maintenant.

[01:12:52:01]	  Nos voisins ne nous considè rent plus comme indiens,

[01:12:53:24]	  mais comme musulmans.

[01:12:57:03]	  - Aalia, tu es tout autant indienne que moi.

[01:12:58:15]	  L'Inde est ce que nous en faisons.

[01:13:01:04]	  - S'il te plaî t, c'est déjà  assez difficile.

[01:13:03:14]	  - Aalia, je t'en supplie, tu ne dois pas t'en aller.

[01:13:06:03]	  - Aalia, tu es prê te, ma chérie?

[01:13:09:26]	  - Une seconde, Ubba. - Qui est là ?

[01:13:11:10]	  - Jeet Kumar, monsieur. - Il faut y aller.

[01:13:12:24]	  Il n'y a pas une minute à  perdre.

[01:13:14:23]	  Le train part à  minuit.

[01:13:17:00]	  Je sais que tu as aidé Aalia et son pè re

[01:13:18:14]	  quand leur maison a été incendiée,

[01:13:20:18]	  et je te remercie pour tout ce que tu as fait.

[01:13:22:03]	  Ma mè re et mon frè re seront à  la gare de Lahore

[01:13:24:14]	  pour vous accueillir. Ma maison sera la tienne

[01:13:28:05]	  dè s que nous serons mariés. - Dis-lui, enfin!

[01:13:30:26]	  Dis-lui, Aalia! - Me dire quoi?

[01:13:33:20]	

[01:13:33:27]	 - Je suis conscient...

[01:13:36:10]	  

[01:13:37:11]	  que c'est trè s risqué de rester,

[01:13:40:05]	  mais tu es une femme courageuse.

[01:13:42:20]	  Et ton pè re--

[01:13:45:08]	  - Il faut que je l'emmè ne en lieu sû r.

[01:13:47:00]	

[01:13:47:07]	 Il faut que j'emmè ne mon pè re en lieu sû r.

[01:13:48:21]	  

[01:13:51:05]	

[01:13:54:16]	  

[01:13:56:04]	 Au revoir, Jeet.

[01:13:59:14]	

[01:14:00:26]	  

[01:14:01:16]	 - Nous devons y aller maintenant.

[01:14:05:08]	  - Kumar?

[01:14:07:08]	

[01:14:09:10]	  

[01:14:11:28]	 Je n'aurais jamais imaginé que mon pays puisse vivre ça.

[01:14:16:01]	

[01:14:16:16]	 C'est pour le bien de ma fille que je m'en vais.

[01:14:20:14]	

[01:14:21:23]	 Ton avenir est-il toujours sombre, mon ami?

[01:14:23:06]	  

[01:14:25:18]	

[01:14:26:01]	 As-tu enfin parlé à  cette jeune femme?

[01:14:29:25]	

[01:14:33:19]	 - Oui.

[01:14:34:10]	  

[01:14:36:25]	  Ce n'est pas possible.

[01:14:38:11]	  

[01:14:40:10]	  - Et pourquoi?

[01:14:42:05]	  - Parce qu'elle a décidé de partir...

[01:14:43:16]	  

[01:14:44:25]	  en train pour le Pakistan.

[01:14:47:20]	

[01:14:50:22]	  

[01:14:55:03]	 CÇ a a été un grand honneur de vous connaî tre.

[01:14:59:01]	

[01:15:02:10]	  

[01:15:15:22]	 - On doit y aller.

[01:15:19:04]	

[01:15:21:16]	  

[01:15:30:05]	 - On va ê tre en sécurité au Pakistan, papa.

[01:15:34:01]	

[01:15:37:16]	  

[01:15:44:22]	 (démarrage)

[01:15:48:01]	

[01:15:50:03]	  

[01:16:01:16]	 (brouhaha)

[01:16:04:24]	

[01:16:06:05]	 - Quelle fê te extraordinaire!

[01:16:06:26]	  

[01:16:09:23]	  - Monsieur Nehru, nous, les Américains, nous savons

[01:16:11:14]	  que vous ê tes un admirateur de l'Union soviétique.

[01:16:14:14]	  - J'admire également les EÉ tats-Unis, monsieur Grady.

[01:16:17:09]	  - Bien. Je suis ravi de l'entendre.

[01:16:19:25]	  Et je suis convaincu

[01:16:21:09]	  que les EÉ tats-Unis peuvent aider votre pays.

[01:16:22:26]	  - Si nous nous libérons d'un empire,

[01:16:24:25]	  ce n'est pas pour nous mettre sous la domination d'un autre.

[01:16:26:21]	  L'Inde doit voler de ses propres ailes.

[01:16:29:08]	  - Excusez-moi, monsieur.

[01:16:31:13]	  Sir Cyril Radcliffe souhaite s'entretenir avec vous.

[01:16:33:04]	  - Si vous le permettez, excellence, j'y vais.

[01:16:36:01]	

[01:16:40:00]	 - Je crois fermement qu'il nous faut plus de temps.

[01:16:43:16]	  - Asseyez-vous.

[01:16:46:01]	  - Pug, je ne sais pas si vous en avez conscience,

[01:16:47:20]	  mais la commission connaî t d'énormes difficultés

[01:16:51:23]	  à  accomplir sa mission. Et de plus,

[01:16:54:13]	  j'ai de grands doutes sur l'équité de la démarche.

[01:16:57:18]	  Je me demande si une autre instance

[01:16:59:18]	  ne devrait pas intervenir. - Et vous pensez à  laquelle?

[01:17:01:23]	  - Je me disais que l'ONU pourrait nous aider.

[01:17:04:16]	  - Et admettre que nous, les Britanniques,

[01:17:06:03]	  ne savons guè re gérer nos affaires seuls?

[01:17:08:13]	  - Sauf votre respect,

[01:17:11:05]	  c'est une bien trop grande responsabilité

[01:17:12:20]	  pour mon équipe et moi.

[01:17:14:25]	

[01:17:15:06]	 Je vais en dire deux mots à  Mountbatten.

[01:17:16:20]	  

[01:17:19:01]	  - Dickie doit ê tre absolument neutre, vous le savez.

[01:17:22:01]	  S'il prend partie pour une communauté,

[01:17:25:10]	  tout ça va exploser comme une bombe.

[01:17:27:25]	  Il faut que vous tranchiez dans le vif.

[01:17:29:24]	  - Justement, c'est une hache, Pug.

[01:17:32:04]	  Une hache couverte de sang qui brise la vie des gens.

[01:17:33:25]	

[01:17:37:03]	  

[01:17:39:06]	 - J'ai là  quelque chose qui pourrait vous ê tes utile.

[01:17:43:08]	

[01:17:47:10]	  

[01:17:52:15]	 C'est un document de politique générale rédigé par Churchill

[01:17:56:20]	  quand il était premier ministre il y a deux ans.

[01:18:00:20]	  Il s'était penché sur l'avenir de l'Inde.

[01:18:04:06]	

[01:18:05:08]	 Cela devrait vous faciliter la tâ che.

[01:18:06:22]	  

[01:18:09:01]	

[01:18:11:23]	 - Quelle est cette carte? - Elle a été dressée

[01:18:12:22]	  

[01:18:15:20]	  par le vice-roi Wavell l'an dernier.

[01:18:17:28]	  - Je ne comprends pas. Il y a déjà  une frontiè re là -dessus.

[01:18:20:23]	

[01:18:20:28]	 - On m'a dit de vous transmettre ces informations.

[01:18:24:28]	  - Qui vous l'a demandé? Mountbatten?

[01:18:28:08]	  - Non. Il ne sait rien à  ce sujet.

[01:18:30:28]	  Cela vient de beaucoup plus haut, monsieur Radcliffe.

[01:18:33:10]	

[01:18:33:20]	 On n'a pas battu les nazis et les Japs

[01:18:37:14]	

[01:18:37:18]	 pour refiler notre boutique aux Soviétiques.

[01:18:41:14]	

[01:18:44:08]	 Comme vous le voyez, il n'y a pas de ligne droite en Inde.

[01:18:48:01]	

[01:18:51:04]	 (conversations indistinctes)

[01:18:53:22]	  

[01:18:54:21]	

[01:18:56:23]	  

[01:18:58:22]	 - Mon Dieu!

[01:19:02:01]	

[01:19:03:27]	  

[01:19:05:03]	 - Ils sont des centaines à  arriver chaque jour.

[01:19:09:01]	  Il y en a des milliers en ville.

[01:19:12:06]	  Et ils racontent de ces choses.

[01:19:14:25]	  (langue étrangè re)

[01:19:16:25]	  CÇ a n'était pas prévu dans le plan, si?

[01:19:18:24]	

[01:19:22:03]	  

[01:19:43:24]	 - Duleep!

[01:19:47:01]	  Qu'est-ce qui s'est passé?

[01:19:49:03]	  - Jeet, nos familles sont venues?

[01:19:51:14]	  - Non.

[01:19:54:13]	  - Alors je suis arrivé trop tard.

[01:19:56:19]	  - Tout a été détruit. - Quoi?

[01:19:59:26]	  - Notre village, ils sont tous partis.

[01:20:01:21]	  Des hommes de la région sont arrivés

[01:20:04:06]	  et ils ont tout saccagé.

[01:20:07:06]	  Nos familles ont disparu.

[01:20:09:23]	  - Ma mè re?

[01:20:11:25]	  Mes soeurs? - Je...

[01:20:13:16]	  Je les ai pas retrouvées.

[01:20:14:26]	  Je prie le ciel qu'elles soient dans un camp de réfugiés.

[01:20:17:05]	  J'ai trouvé cette petite fille dans une grange abandonnée.

[01:20:20:21]	  Il n'y avait plus qu'elle dans le village.

[01:20:23:20]	  En revenant, j'ai vu plein de corps au bord de la route.

[01:20:27:20]	  Des femmes se sont jetées dans un puits

[01:20:31:04]	  pour ne pas ê tre violées.

[01:20:33:08]	

[01:20:34:20]	  

[01:20:39:15]	 (musique triste)

[01:20:42:25]	

[01:20:44:27]	  

[01:20:50:28]	 - Monsieur, la frontiè re est tracée.

[01:20:54:21]	

[01:20:55:01]	 - Nous ne dévoilerons cela à  personne

[01:20:57:22]	  

[01:20:58:25]	  avant les cérémonies d'indépendance.

[01:21:01:15]	  - Mais pourquoi enfin?

[01:21:03:10]	  J'ai subi une grande pression pour ê tre prê t à  temps.

[01:21:05:09]	  - Je préfè re qu'on les laisse célébrer l'indépendance.

[01:21:08:24]	  Ils découvriront la triste réalité aprè s la fê te.

[01:21:11:08]	  - Cela provoquera un carnage, monsieur.

[01:21:14:03]	  Quoi qu'il en soit! - Tous les dirigeants pensent

[01:21:17:18]	  que la partition enrayera la violence

[01:21:20:01]	  au lieu de l'aggraver.

[01:21:21:26]	  - Je ne tire aucune fierté de ce travail.

[01:21:23:10]	  - Désolé de vous l'entendre dire.

[01:21:26:18]	  - En toute conscience, je refuse de me faire payer.

[01:21:28:23]	

[01:21:32:25]	  

[01:21:33:14]	 Il me semble...

[01:21:36:25]	  que vous portez l'Inde dans votre coeur.

[01:21:38:25]	

[01:21:39:29]	 Je crois donc qu'il faut que vous sachiez...

[01:21:42:10]	  

[01:21:43:25]	

[01:21:47:22]	  

[01:22:13:21]	 (brouhaha)

[01:22:16:29]	

[01:22:19:01]	  

[01:22:27:04]	 - Ces trois caisses sont pleines.

[01:22:30:26]	  Vous pouvez les prendre.

[01:22:31:25]	

[01:22:32:02]	 Celles-ci aussi. Allez, dépê chez-vous.

[01:22:33:07]	  

[01:22:35:25]	  - Vous pensez qu'on en aura assez?

[01:22:39:08]	  - Il y a beaucoup trop de monde, votre excellence.

[01:22:41:25]	  Mê me en travaillant toute la nuit,

[01:22:45:08]	  je crains que ça ne suffise pas.

[01:22:47:16]	  - Je vais voir ce que je peux faire.

[01:22:50:08]	

[01:22:52:16]	  

[01:23:01:03]	 - Tu sais quel train a pris Aalia?

[01:23:04:25]	  - Le train de nuit.

[01:23:08:08]	  Le dernier.

[01:23:10:15]	

[01:23:12:17]	  

[01:23:15:14]	 - Ils disent qu'il n'y a aucun survivant.

[01:23:19:09]	

[01:23:21:03]	  

[01:23:23:17]	 (sanglots)

[01:23:26:25]	

[01:23:28:20]	  

[01:23:53:02]	 - Dickie, les réfugiés-- - Pas maintenant!

[01:23:56:26]	

[01:24:00:16]	  

[01:24:01:21]	 Laissez-nous!

[01:24:05:01]	

[01:24:06:22]	  

[01:24:07:20]	 Voilà  pourquoi Jinnah était si ferme!

[01:24:11:14]	  On lui avait déjà  promis son Pakistan!

[01:24:13:26]	  Comment se fait-il que personne ne m'en ait parlé?

[01:24:16:23]	  - CÇ a vous aurait empê ché de faire votre travail.

[01:24:18:28]	  - Mon travail?

[01:24:21:04]	  Trompez des gens que je suis au contraire supposé respecter?

[01:24:22:29]	  - Vous n'avez trompé personne.

[01:24:25:20]	  Vous avez été tout à  fait honnê te

[01:24:27:04]	  et eux vous ont fait confiance.

[01:24:28:20]	  Comme nous l'espérions. - Oui! Pour que je les pousse

[01:24:31:16]	  à  approuver ce qui avait été décidé.

[01:24:33:29]	  - L'essentiel est de protéger les intérê ts de la couronne.

[01:24:35:26]	

[01:24:36:04]	 Churchill, lui, le voit.

[01:24:39:18]	  - Il voit quoi, Churchill?

[01:24:41:09]	  - Notre avenir.

[01:24:42:21]	  Regardez la carte.

[01:24:44:14]	  Regardez ouù  se concentrera le pouvoir.

[01:24:46:01]	  Le golfe, le pétrole.

[01:24:48:25]	  Nous devons assurer notre accè s vers cette richesse,

[01:24:51:20]	  vers ces énormes réserves.

[01:24:55:06]	  Et barrer l'entrée aux autres.

[01:24:57:01]	  Et notre sécurité sera assurée grâ ce au Pakistan.

[01:24:59:28]	

[01:25:00:24]	 - Vous avez divisé l'Inde pour du pétrole.

[01:25:04:18]	

[01:25:05:14]	 - Pour notre sécurité.

[01:25:08:28]	  Il y a un empire soviétique.

[01:25:12:09]	  Staline a absolument besoin

[01:25:15:11]	  d'un port libre de glace à  l'est.

[01:25:17:25]	  Il avait des vues sur Karachi.

[01:25:19:28]	

[01:25:20:02]	 Il peut faire une croix dessus.

[01:25:23:23]	  - Le Pakistan sera plus facile à  influencer

[01:25:25:25]	  qu'une Inde indisciplinée aux penchants socialistes.

[01:25:28:11]	  C'est ce que vous imaginez?

[01:25:30:16]	  - Un chef d'EÉ tat-major n'a pas à  imaginer.

[01:25:32:10]	  - Vous avez abusé de moi et de ma famille.

[01:25:35:09]	  - Vous ê tes venu pour servir votre roi et votre pays.

[01:25:38:20]	  Et vous avez été admirable.

[01:25:41:25]	  Il paraî t qu'ils vont vous promouvoir,

[01:25:43:20]	  de vicomte à  comte.

[01:25:46:01]	  - Que faites-vous de tous ces pauvres gens

[01:25:47:23]	  

[01:25:48:25]	  dont la vie est brisée à  cause de ces manigances?

[01:25:50:24]	  - Ils ont joué de malchance. On ne l'avait pas prévu.

[01:25:53:08]	  - Vous avez tous du sang sur les mains.

[01:25:56:01]	  - Mais, Dickie... votre nom est indissociable du plan.

[01:25:58:06]	

[01:25:59:15]	 Il sera toujours connu comme le plan Mountbatten.

[01:26:02:07]	  

[01:26:03:14]	

[01:26:06:28]	  

[01:26:07:04]	 Bonsoir, votre excellence.

[01:26:10:20]	

[01:26:12:25]	  

[01:26:46:22]	 - Mais enfin, qu'est-ce que ça veut dire?

[01:26:50:18]	  - Vous étiez supposé nous protéger.

[01:26:53:01]	

[01:26:54:04]	 Vous avez mis l'Inde en piè ces.

[01:26:56:00]	  

[01:26:57:23]	

[01:26:59:23]	  

[01:27:04:11]	 Tous ceux que j'aimais sont morts.

[01:27:08:03]	  - Kumar.

[01:27:09:20]	  - C'est ça le prix que nous devons payer pour ê tre libres?

[01:27:11:16]	  - J'ai connu nombre de jeunes pendant la guerre

[01:27:13:14]	  qui ont perdu des proches. Et avec le temps qui passe--

[01:27:16:04]	  - Vous, vous n'avez perdu personne! Personne!

[01:27:19:26]	  Bientô t, vous allez repartir sans une égratignure.

[01:27:21:21]	  

